service_unit_key;Codigo Unidad Servicio;Unidad Servicio;Estado UDS
284;500100085455;LAS GAVIOTAS;ACTIVA
285;500100085465;HCB FAMI MIS PEQUENOS ANGELITOS;ACTIVA
286;500100085467;LAS JARDINERAS;ACTIVA
287;500100085795;CARITAS FELICES;ACTIVA
288;500100085814;LOS BAILARINES;ACTIVA
289;500100085973;EL REY LEÓN;ACTIVA
290;500100085976;MI CASITA FELIZ;ACTIVA
291;500100086648;HCB FAMI LAS SIRENITAS;ACTIVA
292;500100086848;HCB FAMI GESTANTES PRIMERO;ACTIVA
293;500100086850;HCB FAMI LA CHICOLANDIA;ACTIVA
294;500100086857;HCB FAMI BRISAS DEL RIO;ACTIVA
295;500100086863;HCB FAMI LUNITA CONSENTIDA;ACTIVA
296;500100086871;HCB FAMI LOS TURPIALES;ACTIVA
297;500100086880;HCB FAMI SALTARIN;ACTIVA
298;500100086891;HCB FAMI DULCE DESAFIO;ACTIVA
299;500100086926;HCB FAMI CAMINITO FELIZ;ACTIVA
300;500100086937;HCB FAMI MADRES SONADORAS;ACTIVA
301;500100086945;HCB FAMI MADRES ACTIVAS;ACTIVA
302;500100086959;HCB FAMI ALADIN;ACTIVA
303;500100086985;HCB FAMI LOS GENIOS;ACTIVA
304;500100087413;PLAZA SEZAMO;ACTIVA
305;500100087751;LOS PITUFOS;ACTIVA
306;500100088699;LOS CONEJITOS;ACTIVA
307;500100089099;HOGAR INFANTIL BAMBINOS;ACTIVA
308;500100089893;RANITA;ACTIVA
309;500100089897;LOS POLLITOS;ACTIVA
310;500100089898;AMIGUITOS PARA SOÑAR;ACTIVA
311;500100089899;HUELLAS DE AMOR;ACTIVA
312;500100089900;RENACER;ACTIVA
313;500100089901;LOS NIÑOS DEL FUTURO;ACTIVA
314;500100089902;MIS OSITOS;ACTIVA
315;500100089904;LAS DALIAS;ACTIVA
316;500100090038;LAS ROSITAS;ACTIVA
317;500100090044;LOS PICARINES 2;ACTIVA
318;500100090049;LOS PEQUEÑOS CAMINANTES 1;ACTIVA
319;500100090054;MIS AMIGUITOS;ACTIVA
320;500100090093;LOS CONEJOS;ACTIVA
321;500100090100;RALLITO DE SOL;ACTIVA
322;500100091069;ESTRELLAS DEL FUTURO;ACTIVA
323;500100091139;LOS PICAPIEDRAS 2;ACTIVA
324;500100091141;SEMILLAS DE ESPERANZA 1;ACTIVA
325;500100091143;LOS NIÑOS DEL FUTURO;ACTIVA
326;500100091537;LA ESPERANZA;ACTIVA
327;500100092721;TIGRILLOS TRAVIESOS;ACTIVA
328;500100092768;PIECITOS TRAVIESOS;ACTIVA
329;500100092800;MIS 13 CONEJITOS;ACTIVA
330;500100092830;FUTURAS ESTRELLITAS;ACTIVA
331;500100092836;EL FILITO;ACTIVA
332;500100092855;LOS COMELONCITOS;ACTIVA
333;500100092856;ALEGRIAS INFANTILES;ACTIVA
334;500100092858;PEQUEÑAS PICARDIAS;ACTIVA
335;500100092862;MIS PEQUEÑOS ANGELITOS;ACTIVA
336;500100092865;LOS PINGUINOS;ACTIVA
337;500100092867;LOS DORMILONES;ACTIVA
338;500100092869;CARIÑOSITOS;ACTIVA
339;500100092873;LOS PEQUEÑITOS;ACTIVA
340;500100092874;LOS 13 SOLECITOS;ACTIVA
341;500100094517;CARIÑOSITOS 58;ACTIVA
342;500100094928;NIÑOS DEL FUTURO;ACTIVA
343;500100094932;CHIQUILLOS GIGANTES;INACTIVA
344;500100094948;PERLITAS DEL MAR;ACTIVA
345;500100094973;ESTRELLITAS DE COLORES;ACTIVA
346;500100095003;MANITAS INQUIETAS;ACTIVA
347;500100095007;LOS INQUIETOS;ACTIVA
348;500100095008;FLORECITAS DEL CAMPO;ACTIVA
349;500100095009;ANGELITOS TRAVIESOS;ACTIVA
350;500100095010;EL OSO FELIZ;ACTIVA
351;500100095011;LOS 15 ENANITOS;ACTIVA
352;500100095012;SANTA MARTA;ACTIVA
353;500100095014;LOS CLAVELITOS;ACTIVA
354;500100095015;LOS PEQUEÑINES;ACTIVA
355;500100095016;ALEGRE DESPERTAR;ACTIVA
356;500100095022;FRESITAS DEL BOSQUE;ACTIVA
357;500100095023;LOS GANCITOS;ACTIVA
358;500100095145;MI CORAZONCITO;ACTIVA
359;500100095154;MI SEGUNDO HOGAR 1;ACTIVA
360;500100095157;MI SEGUNDO HOGAR 2;ACTIVA
361;500100095158;PEQUEÑAS PERSONITAS 1;ACTIVA
362;500100095162;15 CORAZONCITOS;ACTIVA
363;500100095168;SALTARINES 2;ACTIVA
364;500100095269;LAS BRISAS;ACTIVA
365;500100095283;EL REMANSO;ACTIVA
366;500100096870;PINGUINOS 2;ACTIVA
367;500100096879;CARITAS PICARAS;ACTIVA
368;500100096883;LOS ENANITOS;ACTIVA
369;500100096890;PINGUINOS 1;ACTIVA
370;500100102532;JI BC MORAVIA;ACTIVA
371;500100102533;JI BC CARPINELO;ACTIVA
372;500100102783;JI BC MONTECARLO;ACTIVA
