geography_key;Codigo Departamento UDS;Departamento UDS;Codigo Municipio UDS;Municipio UDS;Codigo CentroZonal UDS;Centro Zonal UDS
667;41;HUILA;41206;COLOMBIA;4105;CZ LA GAITANA
668;41;HUILA;41244;ELIAS;4104;CZ PITALITO
669;41;HUILA;41298;GARZON;4102;CZ GARZON
670;41;HUILA;41306;GIGANTE;4102;CZ GARZON
671;41;HUILA;41319;GUADALUPE;4102;CZ GARZON
672;41;HUILA;41349;HOBO;4105;CZ LA GAITANA
673;41;HUILA;41357;IQUIRA;4101;CZ NEIVA
674;41;HUILA;41359;ISNOS;4104;CZ PITALITO
675;41;HUILA;41378;LA ARGENTINA;4103;CZ LA PLATA
676;41;HUILA;41396;LA PLATA;4103;CZ LA PLATA
677;41;HUILA;41483;NATAGA;4103;CZ LA PLATA
678;41;HUILA;41503;OPORAPA;4104;CZ PITALITO
679;41;HUILA;41518;PAICOL;4103;CZ LA PLATA
680;41;HUILA;41524;PALERMO;4101;CZ NEIVA
681;41;HUILA;41530;PALESTINA;4104;CZ PITALITO
682;41;HUILA;41548;PITAL;4102;CZ GARZON
683;41;HUILA;41551;PITALITO;4104;CZ PITALITO
684;41;HUILA;41615;RIVERA;4105;CZ LA GAITANA
685;41;HUILA;41660;SALADOBLANCO;4104;CZ PITALITO
686;41;HUILA;41668;SAN AGUSTIN;4104;CZ PITALITO
687;41;HUILA;41676;SANTA MARIA;4101;CZ NEIVA
688;41;HUILA;41770;SUAZA;4102;CZ GARZON
689;41;HUILA;41791;TARQUI;4102;CZ GARZON
690;41;HUILA;41797;TESALIA;4103;CZ LA PLATA
691;41;HUILA;41801;TERUEL;4101;CZ NEIVA
692;41;HUILA;41807;TIMANA;4104;CZ PITALITO
693;41;HUILA;41872;VILLAVIEJA;4101;CZ NEIVA
694;41;HUILA;41885;YAGUARA;4101;CZ NEIVA
695;47;MAGDALENA;47258;EL PIÑON;4703;CZ DEL RIO
696;44;LA GUAJIRA;44035;ALBANIA;4405;CZ MAICAO
697;44;LA GUAJIRA;44078;BARRANCAS;4403;CZ FONSECA
698;44;LA GUAJIRA;44090;DIBULLA;4401;CZ RIOHACHA 1
699;44;LA GUAJIRA;44098;DISTRACCION;4403;CZ FONSECA
700;44;LA GUAJIRA;44110;EL MOLINO;4403;CZ FONSECA
701;44;LA GUAJIRA;44279;FONSECA;4403;CZ FONSECA
702;44;LA GUAJIRA;44378;HATONUEVO;4403;CZ FONSECA
703;44;LA GUAJIRA;44420;LA JAGUA DEL PILAR;4403;CZ FONSECA
704;44;LA GUAJIRA;44847;URIBIA;4404;CZ MANAURE
705;44;LA GUAJIRA;44847;URIBIA;4408;CZ NAZARETH
706;44;LA GUAJIRA;44855;URUMITA;4403;CZ FONSECA
707;68;SANTANDER;68327;GÜEPSA;6809;CZ VELEZ
708;44;LA GUAJIRA;44874;VILLANUEVA;4403;CZ FONSECA
709;47;MAGDALENA;47001;SANTA MARTA;4701;CZ SANTA MARTA SUR
710;47;MAGDALENA;47001;SANTA MARTA;4702;CZ SANTA MARTA NORTE
711;47;MAGDALENA;47030;ALGARROBO;4705;CZ FUNDACIÓN
712;47;MAGDALENA;47053;ARACATACA;4705;CZ FUNDACIÓN
713;47;MAGDALENA;47058;ARIGUANI;4706;CZ PLATO
714;47;MAGDALENA;47161;CERRO DE SAN ANTONIO;4703;CZ DEL RIO
715;47;MAGDALENA;47170;CHIVOLO;4706;CZ PLATO
716;47;MAGDALENA;47189;CIENAGA;4704;CZ CIENAGA
717;47;MAGDALENA;47205;CONCORDIA;4703;CZ DEL RIO
718;47;MAGDALENA;47245;EL BANCO;4707;CZ EL BANCO
719;47;MAGDALENA;47268;EL RETEN;4705;CZ FUNDACIÓN
720;70;SUCRE;70742;SAN LUIS DE SINCE;7001;CZ BOSTON
721;47;MAGDALENA;47318;GUAMAL;4707;CZ EL BANCO
722;47;MAGDALENA;47541;PEDRAZA;4706;CZ PLATO
723;47;MAGDALENA;47551;PIVIJAY;4703;CZ DEL RIO
724;47;MAGDALENA;47555;PLATO;4706;CZ PLATO
725;47;MAGDALENA;47570;PUEBLOVIEJO;4704;CZ CIENAGA
726;47;MAGDALENA;47605;REMOLINO;4704;CZ CIENAGA
727;47;MAGDALENA;47660;SABANAS DE SAN ANGEL;4705;CZ FUNDACIÓN
728;47;MAGDALENA;47675;SALAMINA;4703;CZ DEL RIO
729;47;MAGDALENA;47692;SAN SEBASTIAN DE BUENAVISTA;4707;CZ EL BANCO
730;47;MAGDALENA;47703;SAN ZENON;4708;CZ SANTA ANA
731;47;MAGDALENA;47707;SANTA ANA;4708;CZ SANTA ANA
732;47;MAGDALENA;47720;SANTA BARBARA DE PINTO;4708;CZ SANTA ANA
733;47;MAGDALENA;47798;TENERIFE;4706;CZ PLATO
734;47;MAGDALENA;47960;ZAPAYAN;4706;CZ PLATO
735;47;MAGDALENA;47980;ZONA BANANERA;4704;CZ CIENAGA
736;50;META;50001;VILLAVICENCIO;5001;CZ VILLAVICENCIO 1
737;50;META;50006;ACACIAS;5004;CZ ACACIAS
738;50;META;50110;BARRANCA DE UPIA;5001;CZ VILLAVICENCIO 1
739;50;META;50124;CABUYARO;5005;CZ PUERTO LOPEZ
740;50;META;50150;CASTILLA LA NUEVA;5004;CZ ACACIAS
741;50;META;50223;CUBARRAL;5004;CZ ACACIAS
742;50;META;50226;CUMARAL;5001;CZ VILLAVICENCIO 1
743;50;META;50245;EL CALVARIO;5001;CZ VILLAVICENCIO 1
744;50;META;50270;EL DORADO;5004;CZ ACACIAS
745;50;META;50287;FUENTEDEORO;5003;CZ GRANADA
746;50;META;50313;GRANADA;5003;CZ GRANADA
747;50;META;50318;GUAMAL;5004;CZ ACACIAS
748;50;META;50325;MAPIRIPAN;5001;CZ VILLAVICENCIO 1
749;50;META;50330;MESETAS;5003;CZ GRANADA
750;50;META;50350;LA MACARENA;5001;CZ VILLAVICENCIO 1
751;50;META;50370;URIBE;5003;CZ GRANADA
752;50;META;50400;LEJANIAS;5003;CZ GRANADA
753;50;META;50450;PUERTO CONCORDIA;5003;CZ GRANADA
754;50;META;50568;PUERTO GAITAN;5005;CZ PUERTO LOPEZ
755;50;META;50573;PUERTO LOPEZ;5005;CZ PUERTO LOPEZ
756;50;META;50577;PUERTO LLERAS;5003;CZ GRANADA
757;50;META;50590;PUERTO RICO;5003;CZ GRANADA
758;50;META;50606;RESTREPO;5001;CZ VILLAVICENCIO 1
759;50;META;50680;SAN CARLOS DE GUAROA;5004;CZ ACACIAS
760;50;META;50683;SAN JUAN DE ARAMA;5003;CZ GRANADA
761;50;META;50686;SAN JUANITO;5001;CZ VILLAVICENCIO 1
762;50;META;50689;SAN MARTIN;5004;CZ ACACIAS
763;50;META;50711;VISTAHERMOSA;5003;CZ GRANADA
764;52;NARIÑO;52001;PASTO;5201;CZ PASTO 1
765;52;NARIÑO;52001;PASTO;5202;CZ PASTO 2
766;52;NARIÑO;52019;ALBAN;5201;CZ PASTO 1
767;52;NARIÑO;52022;ALDANA;5204;CZ IPIALES
768;52;NARIÑO;52036;ANCUYA;5202;CZ PASTO 2
769;52;NARIÑO;52051;ARBOLEDA;5206;CZ LA UNION
770;52;NARIÑO;52079;BARBACOAS;5207;CZ BARBACOAS
771;52;NARIÑO;52083;BELEN;5206;CZ LA UNION
772;52;NARIÑO;52110;BUESACO;5201;CZ PASTO 1
773;52;NARIÑO;52203;COLON;5206;CZ LA UNION
774;52;NARIÑO;52207;CONSACA;5202;CZ PASTO 2
775;52;NARIÑO;52210;CONTADERO;5204;CZ IPIALES
776;52;NARIÑO;52215;CORDOBA;5204;CZ IPIALES
777;52;NARIÑO;52224;CUASPUD;5204;CZ IPIALES
778;52;NARIÑO;52227;CUMBAL;5204;CZ IPIALES
779;52;NARIÑO;52233;CUMBITARA;5208;CZ REMOLINO
780;52;NARIÑO;52240;CHACHAGÜI;5201;CZ PASTO 1
781;52;NARIÑO;52250;EL CHARCO;5203;CZ TUMACO
782;52;NARIÑO;52254;EL PEÑOL;5202;CZ PASTO 2
